Kód ORP,Název ORP,Kód okresu,Název okresu,Kód kraje,Název kraje,Lidé v exekuci (2021) [%],Lidé v exekuci (2021) / Průměr ČR [%],Lidé v exekuci (2021) / Průměr kraje [%],Lidé v exekuci (2021) / Průměr okresu [%],Lidé v exekuci (2021) / Průměr sociálně podobných ORP [%],Podíl lidí bez středního vzdělání (2021) [%],Podíl lidí bez středního vzdělání (2021) / Průměr ČR [%],Podíl lidí bez středního vzdělání (2021) / Průměr kraje [%],Podíl lidí bez středního vzdělání (2021) / Průměr okresu [%],Podíl lidí bez středního vzdělání (2021) / Průměr sociálně podobných ORP [%],Domácnosti čerpající přídavek na živobytí (2020) [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr ČR [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr kraje [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr okresu [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr sociálně podobných ORP [%],Propadání (průměr 2015–2021) [%],Propadání (průměr 2015–2021) / Průměr ČR [%],Propadání (průměr 2015–2021) / Průměr kraje [%],Propadání (průměr 2015–2021) / Průměr okresu [%],Propadání (průměr 2015–2021) / Průměr sociálně podobných ORP [%],Názvy sociálně podobných ORP,Kódy sociálně podobných ORP
2101,Benešov,40169,Benešov,3026,Středočeský kraj,4.1,6.3,5.0,4.1,4.4,11.8,13.2,12.7,12.2,13.3,0.5,3.9,2.3,1.2,2.1,0.5,1.4,1.2,0.4,1.4,"Blovice, Bystřice nad Pernštejnem, Bystřice pod Hostýnem, Hořice, Hořovice, Hradec Králové, Hustopeče, Chrudim, Jihlava, Klatovy, Konice, Kyjov, Litovel, Mohelnice, Praha, Rychnov nad Kněžnou, Veselí nad Moravou, Vysoké Mýto, Vyškov, Zábřeh","3201, 6101, 7201, 5204, 2108, 5205, 6207, 5304, 6105, 3205, 7103, 6210, 7105, 7106, 1000, 5213, 6218, 5314, 6219, 7113"
2125,Vlašim,40169,Benešov,3026,Středočeský kraj,4.3,6.3,5.0,4.1,3.8,12.1,13.2,12.7,12.2,13.1,3.1,3.9,2.3,1.2,1.6,0.5,1.4,1.2,0.4,0.7,"Blansko, Dobruška, Frenštát pod Radhoštěm, Holice, Jilemnice, Lanškroun, Náměšť nad Oslavou, Nová Paka, Nové Město na Moravě, Nové Město nad Metují, Pacov, Pelhřimov, Rosice, Telč, Třinec, Turnov, Valašské Meziříčí, Vsetín, Zlín, Židlochovice","6201, 5202, 8105, 5303, 5104, 5306, 6107, 5210, 6108, 5211, 6109, 6110, 6214, 6112, 8121, 5109, 7210, 7212, 7213, 6221"
2126,Votice,40169,Benešov,3026,Středočeský kraj,4.2,6.3,5.0,4.1,4.8,14.4,13.2,12.7,12.2,13.2,1.3,3.9,2.3,1.2,2.1,0.0,1.4,1.2,0.4,1.4,"Bystřice pod Hostýnem, České Budějovice, Dobříš, Ivančice, Jičín, Jihlava, Kostelec nad Orlicí, Milevsko, Mohelnice, Náchod, Opava, Otrokovice, Pardubice, Poděbrady, Přelouč, Rokycany, Sedlčany, Trhové Sviny, Ústí nad Orlicí, Železný Brod","7201, 3102, 2107, 6208, 5207, 6105, 5208, 3107, 7106, 5209, 8117, 7205, 5309, 2119, 5311, 3211, 2123, 3113, 5313, 5110"
2102,Beroun,40177,Beroun,3026,Středočeský kraj,4.4,6.3,5.0,4.4,5.7,11.9,13.2,12.7,12.0,14.4,1.7,3.9,2.3,1.9,3.0,0.9,1.4,1.2,1.1,1.6,"Bílovec, Bučovice, Česká Třebová, Český Brod, Domažlice, Dvůr Králové nad Labem, Jindřichův Hradec, Kralovice, Kutná Hora, Lipník nad Bečvou, Mladá Boleslav, Moravský Krumlov, Nepomuk, Nový Bydžov, Nový Jičín, Semily, Soběslav, Stod, Třeboň, Vrchlabí","8101, 6205, 5301, 2106, 3202, 5203, 3105, 3206, 2112, 7104, 2115, 6212, 3207, 5212, 8115, 5107, 3110, 3212, 3114, 5215"
2108,Hořovice,40177,Beroun,3026,Středočeský kraj,4.3,6.3,5.0,4.4,4.1,12.2,13.2,12.7,12.0,13.0,2.2,3.9,2.3,1.9,1.7,1.3,1.4,1.2,1.1,1.1,"Benešov, Blansko, Boskovice, Holešov, Horažďovice, Hořice, Hustopeče, Konice, Kyjov, Litovel, Mnichovo Hradiště, Nové Město nad Metují, Praha, Přeštice, Rychnov nad Kněžnou, Světlá nad Sázavou, Třebíč, Uherské Hradiště, Vysoké Mýto, Vyškov","2101, 6201, 6202, 7202, 3203, 5204, 6207, 7103, 6210, 7105, 2116, 5211, 1000, 3210, 5213, 6111, 6113, 7207, 5314, 6219"
2109,Kladno,40185,Kladno,3026,Středočeský kraj,7.2,6.3,5.0,7.2,7.0,14.2,13.2,12.7,14.5,15.3,5.8,3.9,2.3,5.4,4.7,1.5,1.4,1.2,1.7,1.8,"Český Těšín, Horšovský Týn, Jablonec nad Nisou, Jaroměř, Kaplice, Králíky, Liberec, Litoměřice, Lovosice, Mělník, Moravská Třebová, Neratovice, Prachatice, Přerov, Roudnice nad Labem, Slaný, Svitavy, Šternberk, Šumperk, Trutnov","8104, 3204, 5103, 5206, 3106, 5305, 5105, 4205, 4208, 2114, 5308, 2117, 3109, 7109, 4211, 2124, 5312, 7110, 7111, 5214"
2124,Slaný,40185,Kladno,3026,Středočeský kraj,7.3,6.3,5.0,7.2,7.5,15.5,13.2,12.7,14.5,15.3,4.4,3.9,2.3,5.4,4.9,2.2,1.4,1.2,1.7,1.8,"Bohumín, Český Krumlov, Jablonec nad Nisou, Jaroměř, Kaplice, Karlovy Vary, Kladno, Liberec, Litoměřice, Lovosice, Mělník, Neratovice, Odry, Prachatice, Přerov, Roudnice nad Labem, Šternberk, Šumperk, Tachov, Trutnov","8102, 3103, 5103, 5206, 3106, 4103, 2109, 5105, 4205, 4208, 2114, 2117, 8116, 3109, 7109, 4211, 7110, 7111, 3215, 5214"
2106,Český Brod,40193,Kolín,3026,Středočeský kraj,6.2,6.3,5.0,6.2,5.6,14.2,13.2,12.7,13.8,14.4,1.3,3.9,2.3,3.2,3.2,1.4,1.4,1.2,1.4,1.7,"Beroun, Bílovec, Bučovice, Česká Třebová, Dvůr Králové nad Labem, Jindřichův Hradec, Kralovice, Kutná Hora, Lipník nad Bečvou, Moravský Krumlov, Nový Bydžov, Rakovník, Stod, Třeboň, Vrchlabí","2102, 8101, 6205, 5301, 5203, 3105, 3206, 2112, 7104, 6212, 5212, 2121, 3212, 3114, 5215"
2110,Kolín,40193,Kolín,3026,Středočeský kraj,6.2,6.3,5.0,6.2,6.4,13.7,13.2,12.7,13.8,14.7,3.7,3.9,2.3,3.2,3.7,1.4,1.4,1.2,1.4,1.5,"Brno, Čáslav, Český Těšín, Hodonín, Horšovský Týn, Králíky, Lysá nad Labem, Mikulov, Moravská Třebová, Neratovice, Plzeň, Prachatice, Příbram, Roudnice nad Labem, Svitavy, Šumperk, Trutnov, Týn nad Vltavou, Vimperk, Znojmo","6203, 2104, 8104, 6206, 3204, 5305, 2113, 6211, 5308, 2117, 3209, 3109, 2120, 4211, 5312, 7111, 5214, 3115, 3116, 6220"
2104,Čáslav,40207,Kutná Hora,3026,Středočeský kraj,5.7,6.3,5.0,5.8,5.5,12.3,13.2,12.7,12.8,14.3,3.7,3.9,2.3,2.8,2.8,1.7,1.4,1.2,1.6,1.2,"Brno, Český Těšín, Hodonín, Horšovský Týn, Jablunkov, Kolín, Králíky, Litomyšl, Luhačovice, Lysá nad Labem, Mikulov, Moravská Třebová, Plzeň, Příbram, Říčany, Svitavy, Šlapanice, Týn nad Vltavou, Vimperk, Znojmo","6203, 8104, 6206, 3204, 8110, 2110, 5305, 5307, 7204, 2113, 6211, 5308, 3209, 2120, 2122, 5312, 6216, 3115, 3116, 6220"
